#,Experiment,Category,Protocol,What you're testing,Ficheiros - raster_scan/experiments_15Maio,Ficheiros - fluorescence/experiments_15Maio
1,Ambient light control,System,1 piece — scan with room lights on vs. off,Whether ambient light bleeds into detector and by how much,"exp1/raster_scan_20260515_131532_..._peleinteira_line4_luz_laser25 ; exp1/raster_scan_20260515_132314_..._peleinteira_line4_semluz_laser25","exp1/20260515_131821_Sample.peleinteira_line4_luz_laser25 ; exp1/20260515_132612_Sample.peleinteira_line4_SEMluz_laser25"
2,Repeatability,System,1 piece — same settings — 5 consecutive scans without moving sample,Scan-to-scan consistency — noise floor of the full pipeline,"exp2/..._rep1 ; exp2/..._rep2 ; exp2/..._rep3 ; exp2/..._rep4 ; exp2/..._rep5","exp2/20260515_135124_Sample...rep1 ; exp2/20260515_135449_Sample...rep2 ; exp2/20260515_140110_Sample...rep3 ; exp2/20260515_140339_Sample...rep4 ; exp2/20260515_140638_Sample...rep5"
3,Feedrate effect,Scanner param,1 piece — 5 feedrates (300 / 500 / 800 / 1200 / 1500 mm/min) — same line spacing (4 mm) — laser 25,How feedrate affects FLIM signal quality and spatial assignment accuracy,"exp3/..._FD300 ; exp3/..._FD500 ; exp3/..._FD800 ; exp3/..._FD1200 ; exp3/..._FD1500","exp3/20260515_161109_Sample...FD300 ; exp3/20260515_162424_Sample...FD500 ; exp3/20260515_161420_Sample...FD800 ; exp3/20260515_161657_Sample...FD1200 ; exp3/20260515_162044_Sample...FD1500"
4,Line spacing effect,Scanner param,1 piece — 4 line spacings (1 / 2 / 4 / 6 mm) — feedrate 800 — laser 25,Spatial resolution vs. scan time tradeoff,"exp4/..._line1 (x2) ; exp4/..._line2 ; exp4/..._line4 ; exp4/..._line6","exp4/20260515_163329_Sample...line1 ; exp4/20260515_164815_Sample...line1 ; exp4/20260515_165332_Sample...line2 ; exp4/20260515_165747_Sample...line4 ; exp4/20260515_165530_Sample...line6"
5,Laser power effect,Scanner param,"3 power levels (20 / 25 / 30) × 2 Z conditions: surface following (variableZ) + fixed Z at Z=11. Light on for variableZ; lights off for Z11.","Whether higher laser power compensates for signal loss at greater standoff; photobleaching threshold","exp5/..._25p_variablez ; exp5/..._20p_variablez ; exp5/..._30p_variablez ; exp5/..._30p_z11 ; exp5/..._25p_z11 ; exp5/..._20p_z11","exp5/20260515_180508_Sample...25p_variableZ ; exp5/20260515_180922_Sample...20p_variableZ ; exp5/20260515_181240_Sample...30p_variableZ ; exp5/20260515_181552_Sample...30p_Z11 ; exp5/20260515_182127_Sample...25p_Z11 ; exp5/20260515_182350_Sample...20p_Z11"
6,Drying effect,Sample state,"1 piece — scanned at t=0, t=30min, t=60min, t=90min + dry piece. Line 4mm, laser 25, lights on.",How dehydration changes autofluorescence and surface topography over time,"exp6/..._t0 ; exp6/..._t30min ; exp6/..._t60min ; exp6/..._t90min ; exp6/..._peleseca","exp6/20260515_160222_Sample...t0 ; exp6/20260515_163933_Sample...t30min ; exp6/20260515_171259_Sample...t60min ; exp6/20260515_173725_Sample...t90min ; exp6/20260515_172418_Sample...peleseca"
7,Thermal damage,Sample state,"1 piece — scanned before and after burning, with and without lights. Feedrate 800, laser 25.",Before/after spatial comparison of cauterisation on FLIM lifetime maps,"exp7/..._nodamage_luz ; exp7/..._nodamage_semluz ; exp7/..._queimada_luz ; exp7/..._queimada_semluz","exp7/20260515_170030_Sample...nodamage_luz ; exp7/20260515_170838_Sample...nodamage_Semluz ; exp7/20260515_173033_Sample...queimada_luz ; exp7/20260515_173308_Sample...queimada_SEMluz"
8,Dermis vs epidermis,Biological,"1 piece — normal side, flipped side (x2 — one with RGB). Line 4mm, laser 25, lights on.",Known biological contrast (collagen/elastin vs NADH/FAD) to validate spatial FLIM discrimination,"exp8/..._peleinteira_exp8 ; exp8/..._peleinteiraaocontrario_exp8 ; exp8/..._aocontrario_exp8comrgb","exp8/20260515_141958_Sample...exp8 ; exp8/20260515_142610_Sample...AOcontrario_exp8 ; exp8/20260515_143403_Sample...exp8comRGB"
9,Probe standoff height,System,"5 standoff conditions: 0 / +1 / +2 / +4 mm + fixed Z at Z=11. No lights, line 2mm, laser 25. Note: no raster scan files for this experiment.",How FLIM signal degrades with probe distance; benefit of surface following over fixed Z,exp9/ (sem ficheiros de raster),"exp9/20260515_183059_Sample...standoff0 ; exp9/20260515_183328_Sample...standoff1 ; exp9/20260515_183639_Sample...standoff2 ; exp9/20260515_183826_Sample...standoff4 ; exp9/20260515_184047_Sample...standoffZ11fixed"
